Title;Genre;Language;Summary;Link
Strawberry Shortcake;Kids & Family;EN;Strawberry Shortcake and her friends learn valuable lessons about friendship and about their lives while they explore and experience all kinds of adventures in Strawberryland.;https://watch.plex.tv/live-tv/channel/strawberry-shortcake
Sonic The Hedgehog;Kids & Family;EN;Sonic The Hedgehog 24/7.;https://watch.plex.tv/live-tv/channel/sonic-the-hedgehog
FilmRise Free Movies;Movies;EN;Enjoy blockbuster movies 24/7 featuring A-list stars like Drew Barrymore, Tom Hanks, Jodi Foster, David Oyelowo and many more.;https://watch.plex.tv/live-tv/channel/filmrise-free-movies-2
Dr. G: Medical Examiner;Drama TV;EN;Renowned coroner Dr. Jan Garavaglia provides explanations and theories for mysterious causes of death that don’t make visible sense.;https://watch.plex.tv/live-tv/channel/dr-g-medical-examiner
Crime Scene TV;True Crime;EN;When tackling a crime, the investigator's only solution is to make the clues talk! There is no such thing as a perfect crime.;https://watch.plex.tv/live-tv/channel/crime-scene-tv
Unsolved Mysteries;True Crime;EN;Hosted by Robert Stack, this series uses reenactments and interviews to retell the circumstances of mysteries that remain unsolved. Covering crimes, tales of lost love, unexplained history and paranormal events.;https://watch.plex.tv/live-tv/channel/unsolved-mysteries
Hot Ones;Daytime TV;EN;Watch an infinite marathon of spicy interviews featuring host Sean Evans, A-list celebrities and an increasingly intense selection of hot sauces.;https://watch.plex.tv/live-tv/channel/hot-ones-2
Beyond Belief;History & Science;EN;In this all-day marathon of the classic anthology series, host Jonathan Frakes presents 5 incredible stories and challenges viewers to figure out which are “fact” and which are “fiction.”;https://watch.plex.tv/live-tv/channel/beyond-belief-2
The Rifleman;Classic TV;EN;In one of TV's first series featuring a single father, veteran and rancher Lucas McCain wields his trusty rifle to enforce the laws of the Wild West. Starring the late Chuck Connors and Johnny Crawford.;https://watch.plex.tv/live-tv/channel/the-rifleman
Highway to Heaven;Classic TV;EN;Binge the classic '80s family drama anytime. An angel is sent to Earth and teams up with an ex-cop to help people in need. Starring Michael Landon and Victor French.;https://watch.plex.tv/live-tv/channel/highway-to-heaven-2
Fifth Gear (UK);Reality;EN;Fifth Gear is the car show for true motor enthusiasts – putting the cars, and their performance, front and centre of the show.;https://watch.plex.tv/live-tv/channel/fifth-gear-uk
FilmRise Free Series;Hit TV;EN;This channel features beloved series in your favorite genres. Enjoy hit comedies KIM'S CONVENIENCE and THE KIDS IN THE HALL, crime series UNSOLVED MYSTERIES, sci-fi classic ANDROMEDA and much more.;https://watch.plex.tv/live-tv/channel/filmrise-free-series
Beyblade;Kids & Family, Anime & Gaming;EN;Now playing: Beyblade Metal Saga. Follow the adventures of Gingka and his fellow Bladers as they save the world from evil-doers with help from their powerful Beys.;https://watch.plex.tv/live-tv/channel/beyblade
World's Wildest Police Videos;Reality;EN;From car chases and captures to robberies and riots, watch the most outrageous police videos on this 24/7 channel of World's Wildest Police Videos hosted by retired Sheriff John Bunnell.;https://watch.plex.tv/live-tv/channel/worlds-wildest-police-videos
Dick Van Dyke;Classic TV;EN;"One of television's most celebrated shows, ""The Dick Van Dyke Show"" follows the misadventures of comedy writer Rob Petrie. Starring the legendary Dick Van Dyke and Emmy Award winner Mary Tyler Moore.";https://watch.plex.tv/live-tv/channel/dick-van-dyke
FilmRise Anime;Anime & Gaming;EN;Discover incredible power and conquer evil with the help of your friends in the hit sagas BAKUGAN and BEYBLADE.;https://watch.plex.tv/live-tv/channel/filmrise-anime-3
UFC;Sports;EN;24/7 UFC action. Celebrate the greatest fights, best athletes, and biggest moments from the world's premier MMA organization.;https://watch.plex.tv/live-tv/channel/ufc-2
Corner Gas;Comedy;EN;A quirky hit sitcom about a bunch of nobodies who get up to a whole lot of nothing in the fictional prairie town of Dog River, Saskatchewan.;https://watch.plex.tv/live-tv/channel/corner-gas-2
MYSTERY TV;History & Science;EN;The supernatural and the unexplained, from UFOs to curses. Lift the lid on conspiracies to explore the world’s greatest mysteries.;https://watch.plex.tv/live-tv/channel/mystery-tv
